Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest,Category
https://www.screener.in/company/HYUNDAI/,1861.1,5.85,27.53,67.59,9.59,151201.42,54.22,42.16,-1.29,-7.69,27.6,1.53,27.26,0.05,5492.25,44.32,LC,HYUNDAI,1,LC
https://www.screener.in/company/SOLARINDS/consolidated/,16523,3.74,123.63,133.65,34.09,149526.38,36.82,31.45,24.23,32.32,59.13,0.25,29.52,0.22,1287.93,121.15,LC,SOLARINDS,1,LC
https://www.screener.in/company/EICHERMOT/consolidated/,5394,9.53,31.26,172.69,6.94,147984.62,29.77,24.07,14.12,18.3,36.62,0.77,20.18,0.02,4734.44,59.25,LC,EICHERMOT,1,LC
https://www.screener.in/company/HINDALCO/consolidated/,650.15,18.84,8.78,71.2,1.18,146091.97,15.21,14.47,10.43,63.02,12.11,1.65,12.38,0.52,16002,70.72,LC,HINDALCO,1,LC
https://www.screener.in/company/PFC/consolidated/,418.4,38.71,6.01,69.67,1.17,138076.26,9.73,21.01,16.15,16.31,3.25,3.5,21.04,8.25,30514.4,-89.27,LC,PFC,1,LC
https://www.screener.in/company/BPCL/consolidated/,316.7,18.72,10.09,30.74,1.69,137378.3,16.25,17.34,-1.74,-49.68,8.2,1.72,22.97,0.75,13336.55,80.51,LC,BPCL,1,LC
https://www.screener.in/company/MAZDOCK/consolidated/,3404.7,10.96,56.91,59.83,17.3,137364.82,43.17,34.03,20.76,24.67,16.95,0.6,28.15,0,2413.51,65.32,LC,MAZDOCK,1,LC
https://www.screener.in/company/AMBUJACEM/consolidated/,555.15,27.34,33.01,16.92,2.56,136752.73,10.5,8.73,5.68,22.68,30.82,0.26,9.75,0.01,5158.41,26.09,LC,AMBUJACEM,1,LC
https://www.screener.in/company/BRITANNIA/consolidated/,5607.5,15.44,61.49,90.45,31.01,135042.79,53.01,52.94,7,2.82,55.11,0.86,54.17,0.29,2177.86,72.89,LC,BRITANNIA,1,LC
https://www.screener.in/company/CHOLAFIN/consolidated/,1593.2,5.72,31.4,50.69,5.66,133858.92,10.34,19.71,34.87,24.61,29.34,0.63,19.68,7.4,4262.7,-175.36,LC,CHOLAFIN,1,LC
https://www.screener.in/company/TVSMOTOR/consolidated/,2747.8,7.66,59.15,47.06,15.35,130573.26,19.43,28.88,12.63,35.32,51.54,0.49,24.52,1.73,2379.81,52.72,LC,TVSMOTOR,1,LC
https://www.screener.in/company/SHRIRAMFIN/consolidated/,688.25,6.13,15.58,50.81,2.29,129437.18,10.97,15.76,14.97,12.8,12.99,1.01,15.15,4.15,9576.32,-145.27,LC,SHRIRAMFIN,1,LC
https://www.screener.in/company/ABB/,6051.5,52.03,67.88,89.05,18.12,128235.29,38.65,28.82,10.36,29.16,102.77,0.42,18.86,0.01,1886.98,49.98,LC,ABB,1,LC
https://www.screener.in/company/TATAPOWER/consolidated/,399.55,23.85,31.55,12.43,3.56,127718.47,11.29,11.87,6.56,17.34,30.82,0.38,10.48,1.75,4775.37,83.09,LC,TATAPOWER,1,LC
https://www.screener.in/company/BANKBARODA/consolidated/,246.18,21.74,6.16,40.06,0.87,127328.91,6.29,15.53,8.08,10.21,7.51,2.52,12.44,11.14,20865.26,32.51,LC,BANKBARODA,1,LC
https://www.screener.in/company/PNB/consolidated/,110.18,154.11,6.85,16.08,0.95,126652.49,6.32,15.18,13.7,103.02,15.16,2.22,7.44,12.64,18552.61,20.68,LC,PNB,1,LC
https://www.screener.in/company/GAIL/consolidated/,191.15,28.88,11.9,18.93,1.48,125696.22,14,13.04,6.51,6.51,8.58,1.1,13.63,0.25,12462.87,86.44,LC,GAIL,1,LC
https://www.screener.in/company/GODREJCP/consolidated/,1210.1,27.42,65.28,18.11,10.31,123778.91,19.39,15.41,1.9,125.65,56.53,0.24,-0.42,0.33,1852.3,77.63,LC,GODREJCP,1,LC
https://www.screener.in/company/CIPLA/consolidated/,1504.2,13.15,23.06,65.28,3.89,121505.02,23.3,18.2,6.88,25.26,29.42,0.79,15.3,0.01,5269.2,62.64,LC,CIPLA,1,LC
https://www.screener.in/company/BSE/consolidated/,2933.2,1.77,90.45,32.65,26.93,119125.78,43.54,34.09,101.7,188.72,39.65,0.38,16.66,0,1322.32,22.04,LC,BSE,1,LC
https://www.screener.in/company/SIEMENS/consolidated/,3297.5,41.38,62.51,73.15,9.53,117480.87,23.61,17.65,-5.59,-9.95,46.22,0.28,13.8,0.01,2606.4,44.6,LC,SIEMENS,1,LC
https://www.screener.in/company/UNIONBANK/consolidated/,153.28,178.54,6.49,23.62,1.03,116931.25,6.72,17.05,8.01,30.67,6.49,2.63,12.55,11.77,18026.96,18.56,LC,UNIONBANK,1,LC
https://www.screener.in/company/UNITDSPR/consolidated/,1593.4,6.69,71.1,21.75,14.3,115910.49,28.67,21.41,6.61,18.44,70.07,0.3,18.79,0.06,1582,75.7,LC,UNITDSPR,1,LC
https://www.screener.in/company/MAXHEALTH/consolidated/,1168.2,5.11,100.34,11.07,12.11,113571.18,14.89,12.73,30.01,7.06,73.54,0.13,12.3,0.32,1075.88,72.8,LC,MAXHEALTH,1,LC
