Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest
https://www.screener.in/company/CHOLAFIN/consolidated/,1489.4,12.99,29.39,50.69,5.29,125317.28,10.34,19.71,34.87,24.61,29.1,9.9,19.68,7.4,4262.7,-175.36,LC,CHOLAFIN,0
https://www.screener.in/company/CIPLA/consolidated/,1551,9.74,25.16,61.79,4.41,125305.67,22.8,16.79,6.43,26.14,29.51,17.4,13.5,0.02,4986.93,59.35,LC,CIPLA,0
https://www.screener.in/company/GAIL/consolidated/,188.85,30.45,11.8,18.9,1.48,124269.07,14.66,13.97,3.4,30.67,8.42,16.33,14.78,0.23,12431.57,74,LC,GAIL,0
https://www.screener.in/company/MAZDOCK/consolidated/,3057.6,3.02,44.83,68.2,16.92,123347.65,44.19,35.19,34.59,71.93,16.28,28.94,23.99,0,2751.19,27.18,LC,MAZDOCK,0
https://www.screener.in/company/TATAPOWER/consolidated/,384.2,28.8,31.69,11.97,3.65,122780.56,11.13,11.28,10.63,13.14,30.38,9.57,8.89,1.73,4514.84,91.57,LC,TATAPOWER,0
https://www.screener.in/company/SOLARINDS/consolidated/,13153.65,3.88,106.01,124.02,31.37,118976.59,32.47,30.9,9.35,39.07,58.09,26.37,27.53,0.32,1184.53,92.18,LC,SOLARINDS,0
https://www.screener.in/company/ABB/,5509,67,62.21,88.33,16.5,116719.41,38.65,28.82,16.67,50.42,102.78,23.11,18.86,0.01,1871.64,49.98,LC,ABB,0
https://www.screener.in/company/PNB/consolidated/,100.18,179.48,6.84,14.93,0.88,115181.2,5.46,8.54,14.79,120.64,15.38,4.71,4.44,12.43,16904.46,-33.42,LC,PNB,0
https://www.screener.in/company/SHRIRAMFIN/consolidated/,610.9,19.57,13.83,50.81,2.04,114891.34,10.97,15.76,14.97,12.8,12.76,10.91,15.15,4.15,9576.32,-145.27,LC,SHRIRAMFIN,0
https://www.screener.in/company/TATACONSUM/consolidated/,1159.65,8.14,89.46,12.92,5.74,114722.67,9.27,7.11,15.87,-4.69,73.06,9.3,7.02,0.12,1287.1,76.95,LC,TATACONSUM,0
https://www.screener.in/company/UNITDSPR/consolidated/,1560.45,8.94,77.38,19.28,14.87,113561.91,27.87,20.98,7.07,15.48,69.49,21.59,17.68,0.07,1402,51.62,LC,UNITDSPR,0
https://www.screener.in/company/INDHOTEL/consolidated/,788.05,13.56,71.79,12.67,11.04,112145.2,15.11,14.26,20.43,33.55,66.66,5.88,4.35,0.29,1913.76,83.55,LC,INDHOTEL,0
https://www.screener.in/company/TORNTPHARM/consolidated/,3308,8.55,60.15,55.02,14.92,111983.06,23.16,24.23,7.91,30.01,43.72,18.88,21.39,0.42,1862,95.85,LC,TORNTPHARM,0
https://www.screener.in/company/RECLTD/consolidated/,421.55,55.14,7.09,59.45,1.51,111016.45,10.05,22.2,19.13,19.2,3.85,9.25,20.24,6.58,15653.35,-120.42,LC,RECLTD,0
https://www.screener.in/company/INDUSTOWER/consolidated/,408.05,23.76,10.99,37.13,3.87,109953.24,22.08,24.19,5.07,79.24,13.48,20.12,22.18,0.75,10005.7,73.48,LC,INDUSTOWER,0
https://www.screener.in/company/ADANIENSOL/consolidated/,898.5,371.74,48.34,8.82,4.89,107929.36,10.24,12.86,43.11,113.11,100.07,10.08,11.91,1.83,921.69,112.25,LC,ADANIENSOL,0
https://www.screener.in/company/SHREECEM/consolidated/,29685,7.97,87.58,339.05,5.13,107120.34,14.76,12.24,-4.73,-45.53,49.07,14.86,12.28,0.08,1224.56,65.26,LC,SHREECEM,0
https://www.screener.in/company/MAXHEALTH/consolidated/,1098,11.84,100.67,10.37,12.13,106750.84,16,13.37,25.86,0.32,72.35,12.3,12.04,0.2,1008.42,67.18,LC,MAXHEALTH,0
https://www.screener.in/company/SIEMENS/consolidated/,2900.8,60.72,45.38,79.34,6.73,103203.06,23.61,17.65,-1.3,19.1,45.62,17.19,13.8,0.02,2826.8,44.6,LC,SIEMENS,0
https://www.screener.in/company/BAJAJHFL/,122,54.51,47,2.6,5.09,101654.48,9.54,13.44,25.71,24.89,50.72,8.49,13.08,4.11,2162.9,-194.24,LC,BAJAJHFL,0
https://www.screener.in/company/MANKIND/,2463.7,23.99,52.57,50.08,9.42,101635.05,24.57,19.71,10.58,23.14,53.9,29.02,21.53,0.02,2018.47,80.67,LC,MANKIND,0
https://www.screener.in/company/HAVELLS/consolidated/,1602.1,31.45,68.32,23.48,12.07,100439.23,24.79,18.65,17.15,16.4,70.56,25.64,19.06,0.04,1470.24,62.25,LC,HAVELLS,0
https://www.screener.in/company/APOLLOHOSP/consolidated/,6954.05,8.5,76.32,91.12,13.33,99987.14,15.11,13.33,14.81,66.23,90.36,13.71,11.78,0.98,1349,77.96,LC,APOLLOHOSP,0
https://www.screener.in/company/DIXON/consolidated/,16415.95,16.65,155.65,131.9,44.24,98894.37,29.16,24.73,106.39,80.73,125.23,28.04,23.83,0.36,864.93,79.22,LC,DIXON,0
https://www.screener.in/company/DRREDDY/consolidated/,1183,20.16,18.41,64.39,3.21,98695.08,26.53,21.39,14.76,2.56,23.57,18.8,16.73,0.16,5448.3,51.91,LC,DRREDDY,0
https://www.screener.in/company/UNIONBANK/consolidated/,125.7,239.66,5.87,21.41,0.86,95932.01,6.55,15.64,11.49,23.07,6.53,5.22,8.79,11.15,16344.01,23.24,LC,UNIONBANK,0
https://www.screener.in/company/CGPOWER/consolidated/,626.65,39.58,102.33,6.13,27.24,95860.1,46.63,57.78,20.5,9.03,73.59,30.82,,0.01,932.53,32.42,LC,CGPOWER,0
https://www.screener.in/company/LUPIN/consolidated/,2094.65,14.74,33.33,62.9,6.11,95620.52,15.72,14.14,12.94,60.16,43.34,6.57,2.23,0.22,2892.1,93.55,LC,LUPIN,0
https://www.screener.in/company/MOTHERSON/consolidated/,133.27,62.83,22.74,5.99,2.87,93793.38,13.68,11.8,18.39,156.79,44.44,9.12,8.83,0.78,4474.34,77.93,LC,MOTHERSON,0
https://www.screener.in/company/HDFCAMC/,4363.7,11.47,37.93,115.11,11.47,93339.4,43.33,32.35,10.74,26.48,39.32,37.89,28.91,0,2461.05,61.91,LC,HDFCAMC,0
https://www.screener.in/company/ICICIGI/,1869.15,23.15,36.97,50.6,6.39,92748.54,24.86,18.8,16.95,30.61,44.04,22.88,17.9,0,2508.29,34.54,LC,ICICIGI,0
https://www.screener.in/company/MARICO/consolidated/,710.05,3.78,57.34,12.39,19.76,91962.99,43.08,38.51,7.95,9.49,52.55,42.88,36.76,0.11,1633,66.7,LC,MARICO,0
https://www.screener.in/company/GMRAIRPORT/consolidated/,87.19,40.58,,-0.45,,91960.85,6.41,,21.96,-4.81,,4.63,,,-731.82,106.33,MC,GMRAIRPORT,0
https://www.screener.in/company/NAUKRI/consolidated/,7052,30.39,142.71,43.18,2.18,91314.16,3.65,2.44,11.02,202.73,139.75,4.21,4.71,0.01,719.98,74.08,MC,NAUKRI,0
https://www.screener.in/company/JINDALSTEL/consolidated/,892.6,22.91,22.31,40.06,1.92,91098.85,13.16,14.12,-0.32,-26.49,13.91,14.13,11.03,0.36,4082.73,58.46,MC,JINDALSTEL,0
https://www.screener.in/company/ZYDUSLIFE/consolidated/,887.7,49.18,19.71,45.09,4.1,89333.45,22.34,20.67,16.94,38.62,23.33,15.2,19.79,0.01,4675,57.08,MC,ZYDUSLIFE,0
https://www.screener.in/company/SRF/consolidated/,3006.95,2.6,77.7,38.69,7.43,89115.76,12.71,12.22,4.51,-22.29,36.68,18.25,19.7,0.44,1146.93,78.65,MC,SRF,0
https://www.screener.in/company/ICICIPRULI/consolidated/,613.9,29.79,74.88,8.2,7.43,88763.89,11.83,10.34,-21.63,39.36,87.21,10.76,9.33,0.22,1185.52,-595.07,MC,ICICIPRULI,0
https://www.screener.in/company/CANBK/consolidated/,97.45,68.52,5.38,18.1,0.85,88313.48,6.63,17.94,13.13,11.99,6.07,5.34,10.51,14.09,16571.37,16.18,MC,CANBK,0
https://www.screener.in/company/BOSCHLTD/,29460.4,32.68,42.94,686.28,6.82,86877.97,20.61,15.97,5.15,20.13,40.21,16.87,12.77,0,2024.1,44.46,MC,BOSCHLTD,0
https://www.screener.in/company/MUTHOOTFIN/,2159.65,13.2,18.26,118.3,3.21,86756.56,13.15,17.86,29.59,21.9,14.45,14.25,21.88,2.91,4749.2,-91.37,MC,MUTHOOTFIN,0
https://www.screener.in/company/DABUR/consolidated/,486,38.27,48.68,10.14,8.31,86125.76,22.28,19.22,2.29,0.34,55.71,25.39,21.62,0.17,1768.91,69.88,MC,DABUR,0
https://www.screener.in/company/BSE/consolidated/,6359,7.06,92.02,69.33,23.22,86085.83,19.97,15.2,118.91,130,38.86,11.93,9.14,0,935.54,393.14,MC,BSE,0
https://www.screener.in/company/NHPC/consolidated/,85.53,38.49,31.7,2.7,2.14,85895.33,7.67,9.61,1.52,-27.28,10.45,7.99,10.38,0.85,3109.86,101.27,MC,NHPC,0
https://www.screener.in/company/IDBI/consolidated/,79.83,153.35,11.25,7.1,1.39,85836.42,6.76,13.54,9.35,33.15,16.81,5.41,9.35,5.35,7656.32,103.48,MC,IDBI,0
https://www.screener.in/company/NTPCGREEN/consolidated/,100.55,54.5,245.58,0.6,,84653.39,7.6,6.2,1056.58,101.33,183.32,7.6,,2.22,344.72,86.54,MC,NTPCGREEN,0
https://www.screener.in/company/JSWENERGY/consolidated/,479.1,68.01,44.58,10.96,2.99,83717.57,8.59,8.4,-0.77,14.26,40.07,8.75,8.2,1.1,1913.64,107.97,MC,JSWENERGY,0
https://www.screener.in/company/BHARTIHEXA/,1665,3.12,79.26,24.96,16,83270.85,13.98,14.02,16.88,162.45,78.83,3.64,-1.17,1.64,1247.8,99.39,MC,BHARTIHEXA,0
https://www.screener.in/company/PERSISTENT/consolidated/,5316.1,27.7,59.2,90.54,13.01,82884.4,31.39,24.83,21.56,30.83,45.12,27.77,23.09,0.05,1400.16,52.67,MC,PERSISTENT,0
https://www.screener.in/company/SBICARD/,869.65,33.96,43.19,20.14,6,82758.31,10.4,14.82,6.4,-20.41,41.74,11.54,20.17,3.26,1916.41,-36.24,MC,SBICARD,0
https://www.screener.in/company/POLYCAB/consolidated/,5481,38.79,44.84,122.34,9.59,82473.68,31.33,23.17,25.3,10.6,41.44,26.52,20.7,0.02,1864.65,49.39,MC,POLYCAB,0
https://www.screener.in/company/HINDPETRO/consolidated/,378.7,20.73,13.37,28.34,1.76,80611.56,21.26,40.38,2.79,-64.35,4.62,9.89,16.71,1.58,6029.57,83.35,MC,HINDPETRO,0
https://www.screener.in/company/CUMMINSIND/,2883.4,44.69,41.08,70.2,12.34,79927.85,35.23,28.11,19.03,37.15,40.15,23.68,19.84,0,1945.93,56.26,MC,CUMMINSIND,0
https://www.screener.in/company/BHEL/consolidated/,226.55,72.44,151.67,1.49,3.26,78726.19,3.37,1.13,15.7,15.19,89.49,0.13,-2.13,0.38,519.07,-283.12,MC,BHEL,0
https://www.screener.in/company/TORNTPOWER/consolidated/,1535.75,32.66,32.87,48.63,5.81,77541.61,14.77,15.21,9.53,27.38,16.55,14.41,14.71,0.87,2428.43,88.85,MC,TORNTPOWER,0
https://www.screener.in/company/IDEA/consolidated/,7.12,1630.9,,-4.46,,77033.84,-3.61,,1.38,9.19,,-4.41,,,-27891.9,121.36,MC,IDEA,0
https://www.screener.in/company/HEROMOTOCO/consolidated/,3839.9,62.67,18.57,207.65,4.04,76836.06,29.09,21.95,10.83,11.33,21,24.23,18.72,0.03,4150.52,82.57,MC,HEROMOTOCO,0
https://www.screener.in/company/SUZLON/consolidated/,56.36,665.1,65.25,0.85,16.97,76368.28,24.93,28.77,54.24,136.36,102.63,5.64,,0.06,1144.77,7.39,MC,SUZLON,0
https://www.screener.in/company/INDIANB/consolidated/,563,12.38,7.17,78.51,1.14,75853.78,5.92,15.35,14.16,38.36,7.06,5.12,11.26,10.97,10578.83,-19.63,MC,INDIANB,0
https://www.screener.in/company/OFSS/consolidated/,8701.05,51.94,31.76,273.95,9.04,75559.88,40.61,29.34,7.44,7.21,18.17,37.6,27.38,0.01,2379.6,65.05,MC,OFSS,0
https://www.screener.in/company/WAAREEENER/consolidated/,2605.25,43.67,40.04,65,7.89,74896.37,35.12,27.57,26.73,89.26,48.38,33.44,29.97,0.13,1928.13,101.12,MC,WAAREEENER,0
https://www.screener.in/company/POLICYBZR/consolidated/,1625,38.77,359.17,5.33,12.22,74564.08,1.75,1.13,41.7,6260.24,653.1,-14.65,-10.44,0.05,242.69,4.49,MC,POLICYBZR,0
https://www.screener.in/company/GICRE/consolidated/,417.15,25.97,9.76,42.83,1.23,73294.63,15.78,13.31,1.34,9.93,9.48,11.19,9.99,0,7513.41,140.4,MC,GICRE,0
https://www.screener.in/company/RVNL/,349.1,85.33,58.32,5.99,9.16,72828.46,18.7,20.39,-2.55,-9.19,9.16,16.62,20.27,0.68,1248.62,116.24,MC,RVNL,0
https://www.screener.in/company/IOB/,37.6,508.78,23.45,1.64,2.42,72499.33,5.41,9.98,19.96,23.79,31.32,4.13,-1.2,11.9,3091.73,-6.49,MC,IOB,0
https://www.screener.in/company/SWIGGY/consolidated/,316.4,95.1,,,10,72402.59,-24.39,,36.09,44.7,,-36.18,,0.15,-2350.24,72.43,MC,SWIGGY,0
https://www.screener.in/company/AUROPHARMA/consolidated/,1229.4,29.54,20.26,59.58,2.33,72029.34,14.1,11.53,10.85,26.71,16.72,14.7,12.69,0.27,3488.09,38.28,MC,AUROPHARMA,0
