Transaction Date,Company Name,Symbol,Exchange,Type,Quantity,Price,Tax/Charges,Brokerage,Remarks
Jun 12 2023,Jubilant Foodworks L,JUBLFOOD,NSE,Buy,55,478.2,33.14,10,Buy Trade
May 17 2023,Jubilant Foodworks L,JUBLFOOD,NSE,Sell,108,454.71,52.85,10,Sell Trade
May 09 2023,Jubilant Foodworks L,JUBLFOOD,NSE,Buy,105,468.45,60.31,10,Buy Trade
May 03 2023,Jubilant Foodworks L,JUBLFOOD,NSE,Buy,44,462,25.98,10,Buy Trade
Apr 19 2023,Jubilant Foodworks L,JUBLFOOD,NSE,Buy,68,439.8,37.38,10,Buy Trade
Apr 19 2023,Junior BeES,JUNIORBEES,NSE,Sell,83,410.81,3.27,10,Sell Trade
Apr 03 2023,Junior BeES,JUNIORBEES,NSE,Buy,83,401.24,8.19,10,Buy Trade
Oct 23 2023,Kotak Mahindra Bank,KOTAKBANK,NSE,Buy,57,1750.65,120.68,10,Buy Trade
Aug 18 2023,Kotak Mahindra Bank,KOTAKBANK,NSE,Buy,26,1763.85,56.43,10,Buy Trade
Jul 21 2023,Kotak Mahindra Bank,KOTAKBANK,NSE,Buy,26,1955.95,62.9,10,Buy Trade
Jan 23 2024,LIC,LICI,NSE,Sell,196,904.44,186.37,10,Sell Trade
Nov 28 2023,LIC,LICI,NSE,Buy,120,675.8,98.4,10,Buy Trade
Aug 17 2023,LIC,LICI,NSE,Buy,76,660.72,61.87,10,Buy Trade
Oct 18 2023,LTIMindtree,LTIM,NSE,Buy,6,5158,38.99,10,Buy Trade
Jul 19 2023,LTIMindtree,LTIM,NSE,Buy,5,4978.6,31.45,10,Buy Trade
Jul 18 2023,LTIMindtree,LTIM,NSE,Sell,5,4955,27.6,10,Sell Trade
Jun 22 2023,LTIMindtree,LTIM,NSE,Buy,10,4996.58,60.88,10,Buy Trade
Oct 17 2023,Lux Industries,LUXIND,NSE,Buy,23,1330.65,38.26,10,Buy Trade
Jun 12 2023,Lux Industries,LUXIND,NSE,Buy,17,1481.43,31.8,10,Buy Trade
May 16 2023,Lux Industries,LUXIND,NSE,Buy,34,1499.87,62.28,10,Buy Trade
Jan 12 2024,Marico Ltd.,MARICO,NSE,Buy,200,530.08,128.52,10,Buy Trade
Oct 19 2023,Metropolis Healthcar,METROPOLIS,NSE,Buy,22,1486.58,40.76,10,Buy Trade
Jun 19 2023,Metropolis Healthcar,METROPOLIS,NSE,Buy,22,1365.98,37.6,10,Buy Trade
Dec 26 2023,Neogen Chemicals,NEOGEN,NSE,Buy,68,1489.73,122.7,10,Buy Trade
Apr 19 2023,Nifty BeES,NIFTYBEES,NSE,Sell,174,193.11,3.45,10,Sell Trade
Apr 03 2023,Nifty BeES,NIFTYBEES,NSE,Buy,174,190.48,8.08,10,Buy Trade
Nov 21 2023,NIPINIFITETF,NIPINIFITETF,NSE,Sell,3350,34.28,7.42,10,Sell Trade
Jul 19 2023,NIPINIFITETF,NIPINIFITETF,NSE,Buy,1675,32.91,11.94,10,Buy Trade
Jun 15 2023,NIPINIFITETF,NIPINIFITETF,NSE,Buy,1675,30.07,11.44,10,Buy Trade
Oct 16 2023,NMDC Ltd.,NMDC,NSE,Sell,265,164.83,47.58,10,Sell Trade
Jul 18 2023,NMDC Ltd.,NMDC,NSE,Buy,265,112.55,37.28,10,Buy Trade
Aug 18 2023,Page Industries Ltd.,PAGEIND,NSE,Sell,1,40315.7,43.78,10,Sell Trade
Jul 12 2023,Page Industries Ltd.,PAGEIND,NSE,Buy,1,36220,44.95,10,Buy Trade
Jun 12 2023,Page Industries Ltd.,PAGEIND,NSE,Buy,1,38294.1,47.42,10,Buy Trade
May 09 2023,Page Industries Ltd.,PAGEIND,NSE,Buy,1,41480,51.14,10,Buy Trade
Apr 19 2023,Page Industries Ltd.,PAGEIND,NSE,Buy,1,38201,46.95,10,Buy Trade
