Type,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Latest,Stock,Max,Diff%
Sales,625.0,723.0,906.0,1073.0,1255.0,1272.0,INDIGOPNTS,1272.0,0.0
Profit,67.0,98.0,114.0,156.0,198.0,192.0,INDIGOPNTS,198.0,3.03
Sales,16724.0,15472.0,15822.0,18776.0,25132.0,26409.0,INDUSINDBK,26409.0,0.0
Profit,6177.0,3929.0,6433.0,9932.0,11979.0,12041.0,INDUSINDBK,12041.0,0.0
Sales,633.0,676.0,1294.0,1962.0,3171.0,3181.0,INFIBEAM,3181.0,0.0
Profit,130.0,82.0,98.0,182.0,208.0,256.0,INFIBEAM,256.0,0.0
Sales,2264.0,777.0,1879.0,3541.0,4270.0,4389.0,IRCTC,4389.0,0.0
Profit,730.0,258.0,885.0,1354.0,1496.0,1596.0,IRCTC,1596.0,0.0
Sales,49388.0,49257.0,60645.0,70919.0,70866.0,72174.0,ITC,72174.0,0.0
Profit,20035.0,17938.0,20740.0,25915.0,27140.0,27103.0,ITC,27140.0,0.14
Sales,4739.0,4340.0,4101.0,4609.0,6008.0,6259.0,J&KBANK,6259.0,0.0
Profit,-1144.0,537.0,747.0,1786.0,2388.0,2550.0,J&KBANK,2550.0,0.0
Sales,37923.0,34579.0,51166.0,53212.0,50027.0,51056.0,JINDALSTEL,53212.0,4.05
Profit,-291.0,6078.0,9690.0,5266.0,6241.0,6334.0,JINDALSTEL,9690.0,34.63
Sales,349.0,303.0,149.0,45.0,638.0,557.0,JIOFIN,638.0,12.7
Profit,194.0,118.0,177.0,49.0,521.0,423.0,JIOFIN,521.0,18.81
Sales,3446.0,3211.0,3724.0,3291.0,4786.0,4771.0,JMFINANCIL,4786.0,0.31
Profit,1094.0,1067.0,1348.0,953.0,353.0,368.0,JMFINANCIL,1348.0,72.7
Sales,3284.0,3302.0,4625.0,5787.0,6763.0,6810.0,JPPOWER,6810.0,0.0
Profit,-1318.0,392.0,310.0,225.0,1249.0,1543.0,JPPOWER,1543.0,0.0
Sales,121.0,93.0,186.0,407.0,170.0,171.0,JSWHL,407.0,57.99
Profit,115.0,88.0,180.0,401.0,157.0,158.0,JSWHL,401.0,60.6
Sales,73326.0,79839.0,146371.0,165960.0,175006.0,175736.0,JSWSTEEL,175736.0,0.0
Profit,3013.0,12015.0,29745.0,5655.0,13380.0,11280.0,JSWSTEEL,29745.0,62.08
Sales,3927.0,3312.0,4396.0,5158.0,5654.0,6253.0,JUBLFOOD,6253.0,0.0
Profit,403.0,306.0,563.0,489.0,485.0,508.0,JUBLFOOD,563.0,9.77
Sales,1711.0,1909.0,2196.0,2486.0,2757.0,2812.0,JYOTHYLAB,2812.0,0.0
Profit,182.0,235.0,197.0,299.0,479.0,490.0,JYOTHYLAB,490.0,0.0
Sales,628043.0,690914.0,723606.0,784628.0,845966.0,868138.0,LICI,868138.0,0.0
Profit,13544.0,12151.0,12138.0,41463.0,47014.0,43482.0,LICI,47014.0,7.51
Sales,10879.0,12370.0,26109.0,33183.0,35517.0,35958.0,LTIM,35958.0,0.0
Profit,2003.0,2588.0,5294.0,5792.0,6049.0,6038.0,LTIM,6049.0,0.18
Sales,15375.0,15163.0,16405.0,16642.0,20011.0,20797.0,LUPIN,20797.0,0.0
Profit,887.0,1676.0,-1372.0,716.0,2422.0,2857.0,LUPIN,2857.0,0.0
Sales,1668.0,1953.0,2296.0,2379.0,2324.0,2334.0,LUXIND,2379.0,1.89
Profit,239.0,362.0,456.0,189.0,172.0,196.0,LUXIND,456.0,57.02
Sales,1832.0,2219.0,2011.0,2188.0,2866.0,3066.0,MANAPPURAM,3066.0,0.0
Profit,2007.0,2316.0,1784.0,2041.0,2960.0,3031.0,MANAPPURAM,3031.0,0.0
Sales,299.0,286.0,340.0,498.0,647.0,678.0,MASFIN,678.0,0.0
Profit,230.0,196.0,217.0,272.0,340.0,360.0,MASFIN,360.0,0.0
Sales,1059.0,2508.0,3937.0,4563.0,5406.0,5664.0,MAXHEALTH,5664.0,0.0
Profit,13.0,-69.0,739.0,1064.0,1365.0,1383.0,MAXHEALTH,1383.0,0.0
Sales,856.0,998.0,1228.0,1148.0,1208.0,1244.0,METROPOLIS,1244.0,0.0
Profit,169.0,244.0,293.0,188.0,175.0,187.0,METROPOLIS,293.0,36.18
Sales,16237.0,16162.0,19317.0,23008.0,25169.0,25925.0,MRF,25925.0,0.0
Profit,1434.0,1737.0,908.0,1070.0,2787.0,2763.0,MRF,2787.0,0.86
Sales,3180.0,4109.0,4268.0,4225.0,5430.0,5789.0,MUTHOOTFIN,5789.0,0.0
Profit,4260.0,5131.0,5410.0,4923.0,5996.0,6235.0,MUTHOOTFIN,6235.0,0.0
Sales,8472.0,8956.0,14215.0,14255.0,13149.0,12826.0,NATIONALUM,14255.0,10.02
Profit,224.0,1316.0,3954.0,1845.0,2712.0,3061.0,NATIONALUM,3954.0,22.58
Sales,1312.0,1128.0,1589.0,2346.0,2536.0,2587.0,NAUKRI,2587.0,0.0
Profit,-126.0,1602.0,14200.0,141.0,878.0,993.0,NAUKRI,14200.0,93.01
Sales,306.0,336.0,487.0,686.0,691.0,706.0,NEOGEN,706.0,0.0
Profit,41.0,44.0,57.0,71.0,53.0,55.0,NEOGEN,71.0,22.54
Sales,5357.0,4705.0,5880.0,6223.0,9297.0,9199.0,NETWORK18,9297.0,1.05
Profit,143.0,512.0,939.0,-16.0,-389.0,-611.0,NETWORK18,939.0,165.07
Sales,28343.0,33066.0,35821.0,41007.0,43518.0,44036.0,NIACL,44036.0,0.0
Profit,1659.0,2060.0,178.0,1256.0,1412.0,1366.0,NIACL,2060.0,33.69
Sales,11699.0,15370.0,25965.0,17667.0,21308.0,21327.0,NMDC,25965.0,17.86
Profit,6114.0,8896.0,13016.0,7646.0,7952.0,8347.0,NMDC,13016.0,35.87
Sales,109464.0,111531.0,132669.0,176207.0,178501.0,183946.0,NTPC,183946.0,0.0
